试题类型	知识范畴	题干	试题难度	正确答案	答案			
单选题	专业知识	以下关于电子银行绑定账户的说法正确的是：	难	1	新客户签约全渠道、全渠道客户添加绑定账户时，账户可随意选择绑定渠道。	借记卡、贷记卡可绑定在任意渠道	准贷卡、存折只能绑定在网银	以上都不对
单选题	专业知识	客户已经自助绑定在电子渠道的账户，可直接用BOEING____交易转变为柜面绑定账户	中	1	个人电子银行业务签约	个人电子银行合约管理	个人电子银行合约暂停/注销	个人电子银行信息查询
单选题	专业知识	以下关于短信银行和消息服务的说法正确的是：	中	3	短信银行和消息服务都可跨省签约。	短信银行和消息服务都不可跨省签约。	短信银行可跨省签约，消息服务不可跨省签约。	短信银行不可跨省签约，消息服务可跨省签约。
单选题	专业知识	以下关于个人电子银行合约管理的说法错误的是：	中	1	允许使用临时身份证件办理个人电子银行信息维护	短信银行中，若选择手机充值，需选择已注册短信银行的账号作为充值账户。	对于全渠道客户，网上银行\掌上银行\短信银行下的账户全部注销后，系统自动注销这三个渠道，并同时注销客户个人电子银行合约。	对于单渠道客户，某一渠道下的账户全部注销后，该渠道自动注销。
单选题	专业知识	掌上银行绑定通用K宝转账单笔限额____万元，日累计限额____万元。	中	3	"100,200"	"50,100"	"100,500"	"50,500"
单选题	专业知识	以下关于个人电子银行合约暂停/注销的说法错误的是：	难	3	个人客户须本人持有效身份证件原件到我行任一营业网点办理个人电子银行合约暂停/注销业务。	不允许使用临时身份证件办理个人电子银行合约暂停/注销业务。	全渠道客户的网上银行\掌上银行\短信银行三个渠道必须同时注销/暂停。	个人电子银行合约暂停/注销时，非全渠道客户，每个渠道单独操作，互不影响。
单选题	专业知识	以下关于渠道密码重置的说法错误的是：	中	2	对于全渠道客户，网上银行和掌上银行渠道密码必须同时重置。	渠道状态是暂停时，不能进行渠道密码重置。	渠道密码重置后，客户再次登录网上银行或掌上银行时，需要重新将密码更改为8-18位。	个人客户须本人到我行任一营业网点办理并提供以下材料：本人有效身份证件原件;任意一张注册账户凭证原件。
单选题	专业知识	以下关于手机号删除的说法错误的是：	易	3	客户持有手机号满三个月的，须持运营商开具的连续三个月手机缴费清单为证明	客户持有手机号不满三个月的，须持购号时运营商开具的信息回单作为证明	个人客户本人或代理人可到我行任一营业网点办理手机号删除业务	手机号删除交易只删除其他所有客户名下的重复手机号码(包括掌上银行号码/短信银行号码/安全认证手机号/消息服务号码)，不会删除本客户名下的号码，被删除号码客户的渠道状态不变。
单选题	专业知识	以下关于文件批量转账签约/解约的说法错误的是：	难	3	只支持个人网银柜面注册客户，同时该客户必须到网银注册行办理签约。	其对应的BOEING交易代码为46102	注册账户只支持借记卡。	必须绑定二代以上K宝才能签约。
单选题	专业知识	以下关于个人业务转账交易回单打印的说法错误的是：	难	3	交易回单打印时限为申请打印日前三个月内的交易(包括当日交易)。	"未打印过交易回单的交易流水信息打印标记为""首打"";交易回单打印一次后，已打印过的交易流水信息打印标记为""补打""。"	若客户遗失电子银行交易回单，可到营业网点申请补打，补打回单次数不能超过3次。	打印时需选择回单类型，包括本行付款方回单，本行收款方回单和跨行转账回单。
单选题	专业知识	网上支付跨行清算业务回单打印可查询我行个人客户通过网上支付跨行清算系统发生的金融性交易，并支持打印业务回单，回单打印支持最近____天的交易。	难	2	30	60	90	120
单选题	专业知识	经办行柜员工作日内处理落地业务的次数不得少于____次，每次处理落地业务的时间间隔不得超过____小时，并应与落地后续处理的时间(如同城交换时间\联行发送时间)衔接。	难	4	2，4	3，3	6，1	4，2
单选题	专业知识	个人网银代理服务费，增值服务费由____收取。	中	2	账户开户行	网银注册行	交易服务行	分行指定机构
单选题	专业知识	本行转账，他行转入，漫游汇款，自动转账和资金归集交易手续费由____收取。	易	3	账户开户行	账户启用行	网银注册行	网银交易行
单选题	专业知识	个人网上银行工本费由____收取。	易	1	售出安全认证工具的网点	账户开户行	网银注册行	网银交易行
单选题	专业知识	结售汇业务对账及外汇管理局额度冲正由客户____负责处理，应于次日日终前完成。	难	4	网银注册行	网银注册行对应的西联汇款网点	账户开户行	账户开户行所对应的西联汇款网点
单选题	专业知识	跨境电汇汇出汇款业务由客户____负责处理，应于申请提交的下一个工作日内完成。	难	1	外币账户开户行对应的跨境电汇受理网点	外币账户开户行	网银注册行	网银注册行对应的跨境电汇受理网点
单选题	专业知识	个人网银西联汇款业务的异常交易由客户____负责处理，应于两个工作日内完成。	难	2	账户开户行	账户开户行所对应的西联汇款网点	网银注册行	网银注册行对应的西联汇款网点
单选题	专业知识	个人网银注册客户首次办理西联汇款和跨境电汇业务，须进行个人信息登记，____负责审核客户个人信息。	难	4	账户开户行	账户开户行所对应的西联汇款网点	二级分行指定机构	网银注册行所对应的西联汇款网点
单选题	专业知识	网上缴费业务的参数设置和缴费项目维护，由各____在电子银行综合管理系统中完成。	难	3	网点	二级分行	一级分行	总行
单选题	专业知识	____为实时转账业务，即转账指令发起后，款项自动由系统即时结算。	易	1	本行转账	跨行转账	单笔转账	批量转账
单选题	专业知识	____是指在农业银行营业网点进行验证并维护至个人网上银行内的个人账户，此类账户可作为转出方进行对外支付。	易	3	ATM绑定账户	自助绑定账户	网点绑定账户	以上都对
单选题	专业知识	办理企业网银_____业务，客户必须提供法定代表人有效身份证件的原件及复印件。	易	1	注册	补办证书	渠道维护	开通代付
单选题	专业知识	客户领取密码信封和空白K宝，并成功完成下载证书后，需到注册行_____方可正常使用。	易	3	申请证书	补办证书	激活证书	补打两码
单选题	专业知识	如果密码信封已交给客户，由于客户自身的原因造成证书下载失败，则必须按照_____业务相关流程进行证书交易的相关操作。	难	4	申请证书	补打两码	激活证书	补办证书
单选题	专业知识	经过人工补录处理的企业网银跨行转账交易发生退汇，由____进行处理。	易	3	开户行	转汇行	补录经办行	注册行
单选题	专业知识	未经人工补录处理的企业网银跨行转账交易发生退汇，由____进行处理。	易	4	补录经办行	开户行	注册行	转汇行
单选题	专业知识	被代收的个人办理新增代收业务授权账号业务，可以向____提出申请。	中	4	付款账户的开户行	一级分行任一网点	一级支行任一网点	我行任意网点
单选题	专业知识	被代收的企业办理新增代收业务授权账号业务，需向____提出申请。	中	1	付款账户的开户行	一级分行任一网点	一级支行任一网点	我行任意网点
单选题	专业知识	子(分)公司客户如需修改母（总）公司使用其账户的授权级别，可以到____申请办理。	难	2	母（总）公司相关账户的开户行	子(分)公司相关账户的开户行	母（总）公司相关账户的注册行	子(分)公司相关账户的注册行
单选题	专业知识	企业网银办理_____业务需到待维护账户的开户行办理。	难	1	维护网银注册账户名称	开通现金管理业务	开通电子/纸质商业汇票业务	开通超级批量业务
单选题	专业知识	企业网银办理_____业务需到待维护账户的注册行办理。	中	2	维护网银注册账户名称	修改企业网银的联系人	维护账户控制类型	维护个人资金归集
单选题	专业知识	企业网银渠道维护可到_____办理。	中	3	一级分行任一网点	一级支行任一网点	注册行	注册账户开户行
单选题	专业知识	客户申请删除网银注册账户需到_____办理。	中	4	一级分行任一网点	一级支行任一网点	注册行	注册账户开户行
单选题	专业知识	客户申请注销或修改操作员信息包括证件类型、证件号码、姓名、电话以及智锐版操作员制单权限时需到_____办理。	难	1	注册行	注册账户开户行	一级分行任一网点	一级支行任一网点
单选题	专业知识	客户遗失电子银行交易回单，须到____申请补打电子银行交易回单。	中	1	账户所在网点	注册行	一级分行任一网点	一级支行任一网点
单选题	专业知识	企业网上银行的查询业务按_____的不同，可以分为客户查询和银行内部查询两大类。	易	2	查询对象	发起主体	查询内容	查询事项
单选题	专业知识	企业网银的代付业务的资金用途不得包括_____。	难	3	继承赠与款项	农副产品销售收入	销售收入	纳税退还
单选题	专业知识	客户如需对企业网上银行代付业务的单笔转账限额或工资总额限额进行修改，以及增加开通批量代付功能，可以到申请修改。	难	1	代付账户的开户行	一级分行任一网点	一级支行任一网点	注册行
单选题	专业知识	办理企业网银代付的____业务需要提供《中国农业银行网上代付服务协议》。	中	2	修改	开通	注销	删除
