试题类型	知识范畴	题干	试题难度	正确答案	答案				
判断题	对公贷款	贷款展期的前提是贷款状态必须为正常状态，目前贷款展期仅支持在到期日的次日办理，即展期执行的日期大于贷款的到期日，遇节假日顺延。	易	1					
判断题	对公贷款	质押也称质权，是指债务人或第三人将其动产移交债权人占有，并将该动产用作债权的担保；当债务人不履行债务时，债权人有权依法就该动产卖得价金优先受偿。	易	1					
判断题	对公贷款	贷款冲正方式包括冲账和补账。冲账是指对调整项目金额的调增；补账是指对调整项目金额的调减。	难	-1					
判断题	补贴贷款	补贴贷款是指补贴机构(政府、组织、公司等)因政策或某种利益的考虑，通过银行补贴一定比例本金或利息给贷款人的贷款。BoEing系统的补贴贷款主要是指助学贷款的国家补贴和地方政府补贴类贷款。	中	1					
单选题	对公贷款	再贴现是金融机构以未到期的（转）贴现的汇票向_____卖出汇票进行融通资金。中央银行按一定的利率扣除一定利息，将余款支付给金融机构的资金融通业务。	中	2	定期结息	利随本清	等额本息	等本递减	答案错误
单选题	对公贷款	_____是指按照合同约定在合同到期日一次性还清贷款本金，并按照合同约定周期计收贷款利息的还款方式。	中	1	定期结息	利随本清	等额本息	等本递减	
单选题	对公贷款	等额本息还款是指按约定在合同期内每期偿还贷款本息合计数额相同的还款方式。在利率不变情况下，借款人每期还款额均相等。总体上本金所占份额逐渐_____，利息所占份额逐期_____。	中	1	上升，下降	下降，上升	上升，上升	下降，下降	
单选题	对公贷款	_____是指按照合同约定在合同期内定期偿还贷款等额本金及相应利息的一种还款方式。在整个还款期，本金等额偿还，每期偿还利息是结余本金从上一期还款日至本期还款日前日止应付利息。	中	4	定期结息	利随本清	等额本息	等本递减	
单选题	对公贷款	贷款利息不包括_____。	易	4	正常息	罚息	复利	欠息	
单选题	对公贷款	复利是指应收未收利息产生的利息，对于个人贷款只对_____计算复利，对公贷款对_____计算复利。	难	3	正常息，正常息	所有应收利息，所有应收利息	正常息，所有应收利息	所有应收利息，正常息	
单选题	对公贷款	贷款合约号由BoEing系统产生，共_____位。合约号包含省市代码、行号、合约类型、校验码以及顺序号。	中	2	16	17	18	19	
单选题	对公贷款	贷款放款交易打印制式借款凭证（五联），由信贷部门打印凭证的_____部分，柜员激活放款后打印_____部分。	易	1	下半，上半	上半，下半	上半，上半	下半，下半	
单选题	对公贷款	以下关于贷款提前还款交易规则的说法错误的是_____。	中	4	账单日当天必须先完成贷款合约的正常还款，才能进行提前还款。	停还的贷款合约不能进行提前还款操作	只有贷款合约状态为“正常”的贷款合约才可进行提前还款	“超期”状态的贷款合约可以进行提前还款操作	
单选题	对公贷款	贷款合约有多笔超期账单还款时，每次最多只能选择_____笔超期账单进行超期还款。	难	2	9	10	11	12	
单选题	对公贷款	只有等额本息和_____两种还款方式的贷款合约可以进行贷款停还操作。	难	3	利随本清	等本递减	等额本金	定期结息	
单选题	对公贷款	贷款展期是指借款人_____，经借贷双方协商一致、担保人同意，于贷款到期前延长原借款合同期限的行为。	易	3	财务状况出现严重问题不能按期归还贷款	生产经营出现严重问题不能按期归还贷款	生产经营和财务状况基本正常，但因临时性资金困难导致不能按期归还贷款	长期性资金困难导致不能按期归还贷款	
