试题类型	知识范畴	题干	试题难度	正确答案	答案			
判断题	外汇汇款	经办行办理付汇业务，应按照总行的有关规定，办理国际收支统计申报。	易	-1				
判断题	外汇汇款	个人客户的外汇汇款，款项到达后，以邮递方式通知收款人的，应在三个工作日内发出通知邮件。	难	-1				
判断题	外汇汇款	《汇出汇款登记簿》应包括：汇出汇款业务参考号、汇出日期、汇款币种及金额、汇款用途、汇入行、收款人等主要内容。	易	1				
判断题	外汇汇款	电汇汇入汇款的审核中，如收到非我行账户行发来的MT103格式汇款电文，一级分行可以直接下划经办行。	难	-1				
判断题	外汇汇款	对于个人客户，办理个人汇入汇款业务必须严格做到“谁款谁收”，安全准确。	易	1				
单选题	外汇汇款	外汇汇出汇款和汇入汇款的查询查复业务，应执行____外汇资金清算查询查复的有关规定。	中	2	外汇局	总行	分行	银监局
单选题	外汇汇款	办理汇出汇款业务时，应____。	难	3	对贸易背景真实性进行实地调查（选项，小四号宋体）	首先与收款人联系，收款人同意后方可办理	对汇款申请人凭以付汇的有效凭证及有效商业单据进行合规性和表面一致性的审核	只需审核汇款申请书
单选题	外汇汇款	办理外汇汇出汇款业务应遵循____的原则。	易	2	先购汇、后汇款	先扣款、后汇出	先汇出、后扣款	先转汇、后汇出
单选题	外汇汇款	我行以SWIFT方式委托汇入行解付款项的一种汇款方式是____。	中	4	信汇	汇出汇款	票汇	电汇
单选题	外汇汇款	电汇汇款的退汇包括____。	难	4	收款人主动退汇	汇出行要求退汇	我行主动退汇	以上都是
单选题	外汇汇款	电汇汇出汇款是我行以SWIFT方式委托汇入行解付款项的一种汇款方式。我行办理电汇汇出汇款使用SWIFT____报文。	难	2	MT110	MT103	MT299	MT199
单选题	外汇汇款	对于无法解付的外汇汇入款项，应在____做暂收处理，并按照我行外汇资金清算查询查复的有关规定进行查询，做好查询查复登记。	中	1	当日	次日	三个工作日	五个工作日
单选题	外汇汇款	个人客户的外汇汇款，款项到达后，对于提供电话和地址的汇款指示，应首先以____通知收款人。	中	4	信件	邮递	传真	电话
单选题	外汇汇款	机构客户外汇汇款以及账号齐全的个人外汇汇款应在收到上级行下划账单的____个工作日内到达客户账。 	中	1	1	2	3	5
单选题	外汇汇款	外汇汇入汇款自收到款项并通知收款人之日起____个月内无人领取的，由我行主动退汇。	难	3	1	2	3	6
单选题	外汇汇款	外汇汇出汇款的有关业务档案应保存____年。	中	2	3	5	10	15
单选题	外汇汇款	外汇汇入汇款的有关业务档案应保存____年。	中	2	3	5	10	15
单选题	外汇汇款	在办理外汇汇款业务中，我行不受理____汇款的修改申请。	中	2	电汇	票汇	信汇	以上选项都正确
单选题	外汇汇款	办理汇出汇款业务的汇款资金按照来源划分，可分为四种，其中____仅适用于个人客户。	易	4	现汇账户直接支付	人民币购汇后支付	不同币种套算后支付	钞转汇后支付
单选题	外汇汇款	《汇出汇款登记簿》应包括：____。	易	4	汇出汇款业务参考号	汇款币种及金额	收款人	以上都是
单选题	外汇汇款	办理汇入汇款的修改及止付时，对已经解付的汇入汇款或因其他原因已无法修改原汇款指示的，应____。	易	1	及时通知汇出行，但对由此引起的任何后果不承担任何责任	及时通知汇款人，但对由此引起的任何后果不承担任何责任	从收款人账户上扣取相关款项并听候处理	无需理会汇出行的指示
多选题	外汇汇款	汇款人向我行申请汇款，应填写汇款申请书。汇款申请书是我行办理汇出汇款业务的基本依据，必须内容完整准确、印鉴齐全、字迹清楚。汇款申请书的审核要点包括：____。	难	1234	汇款方式（电汇/票汇/信汇）	汇款币种及金额（货币符号及大小写应准确无误）	汇款人名称、账号及详细地址等资料	收款人名称、账号及详细地址等资料
多选题	外汇汇款	办理汇出汇款业务的汇款资金按照来源划分，可分为____。	易	1234	现汇账户直接支付	人民币购汇后支付	不同币种套算后支付	钞转汇后支付（仅适用于个人客户）
多选题	外汇汇款	汇款人向我行申请汇款，应填写汇款申请书。汇款申请书是我行办理汇出汇款业务的基本依据，必须内容完整准确、印鉴齐全、字迹清楚。汇款申请书的审核要点包括：____。	中	1234	汇款过程产生的费用（由汇款人承担还是由收款人承担）	汇款人签章（个人客户的签章应与其身份证件的姓名一致，机构客户的签章应与其在我行的预留印鉴相符）	开户银行名称、详细地址、SWIFT代码（或其他清算代码）	汇款附言应列明款项用途
多选题	外汇汇款	外汇汇款是指银行按照____的指示，以一定的方式将一定的外汇款项支付给指定____的结算方式。	易	34	汇出行	汇入行	汇款人	收款人
多选题	外汇汇款	外汇汇款业务中，票汇汇款的退汇包括____。	难	124	汇款人要求退汇	汇款人向出票行申请挂失	汇款人向付款行申请挂失	收款人主动退汇
多选题	外汇汇款	外汇汇入汇款，收款人主动退汇的，我行的退汇费可____收取。	难	12	向退汇人收取	从退汇本金中扣收	向汇出行收取	向汇入行收取
多选题	外汇汇款	外汇票汇汇款的撤销分为____。	易	234	收款人申请撤销	汇款人申请撤销	汇款人挂失汇票	汇票失效
多选题	外汇汇款	解付汇入汇款，必须区分____，严格按照国家外汇管理部门的有关规定为客户办理相关手续。	易	14	机构客户	企业客户	同业客户	个人客户
多选题	外汇汇款	办理电汇汇入汇款业务时，收到总行或账户行发来的MT103格式汇款电文，一级分行可以直接下划经办行。经办行在业务系统中收到上级行下划的汇入款项应审核以下内容：____。	易	134	根据账号、地址等要素审核收款人是否为本行或本行辖属网点客户	如收到非本行客户汇款，将资金挂账	币种和金额	对于币别、金额、收款人完全相同的汇入汇款，应注意查看汇款行有关编号是否重复，以免造成重复解付
多选题	外汇汇款	办理外汇汇出汇款业务应遵循____的原则。	易	12	先扣款	后汇出	先汇出	后扣款
多选题	外汇汇款	个人汇入汇款原则上不能代领。如确因特殊情况需由他人代领汇款的，代领人须同时出示____。	难	12	本人身份证件	收款人身份证件	委托书	情况说明
判断题	外币票据托收	外币票据托收方式仅凭汇票、支票、本票等外汇支付凭证，不附带商业单据，又称“光票托收”。	易	1				
判断题	外币票据托收	外币票据托收中，旅行支票无出票日期，一般没有效期限制。	中	1				
判断题	外币票据托收	外币票据托收中，没有出票人签字（含印刷体签字）的票据为无效票据，我行不予受理，包括邮政汇票。	难	-1				
判断题	外币票据托收	外币票据托收中，我行可受理出票日期为将来某一天或有其他远期含义的票据。	难	-1				
判断题	外币票据托收	外币票据托收中，在美国付款的美元票据一般都印有磁码。用于机器自动识别的磁码颜色较暗无光泽且具立体感，如果票据倾斜后磁码发亮或反光，可能是假票。	难	1				
单选题	外币票据托收	收到外币票据托收回来的款项，经办行为客户解付票款后，应将____收回。	易	3	《外币票据托收委托书》（银行留存联）	《外币票据托收申请书》（银行留存联）	《外币票据托收申请书》（客户留存联）	《外币票据托收委托书》（客户留存联）
